,distance,width,movement_time
1824,40,20,303
2542,120,18,741
3843,160,18,800
630,60,6,824
3784,210,18,961
4177,120,6,710
4340,120,6,1024
1500,75,20,480
3769,75,20,490
2418,120,20,712
3524,210,20,840
2114,210,10,1082
3449,40,14,1088
5869,40,20,461
2204,60,10,384
3506,60,10,1026
1565,120,18,608
2389,160,8,1058
6041,75,8,566
3404,160,18,657
893,120,6,1183
5268,120,8,815
3112,120,14,1237
3657,40,18,602
4896,40,14,434
665,160,20,767
1424,210,10,911
621,210,18,921
1395,40,14,473
3576,40,6,845
3137,40,8,478
2925,40,18,482
5252,60,6,609
1849,60,8,497
1758,40,18,246
561,160,6,1120
2888,160,8,1039
3405,160,18,577
4925,210,6,1031
5102,60,8,536
2848,60,6,735
424,60,10,776
3043,160,20,799
2029,160,14,816
3831,120,14,650
3589,60,8,840
4734,120,10,786
5316,120,14,582
1551,210,18,687
3666,210,6,1289
2854,160,10,1089
2424,75,14,526
2697,75,10,648
234,60,20,590
5961,160,20,1122
1294,120,18,742
4959,160,14,632
5669,210,6,761
4679,75,18,622
3034,40,20,450
3299,160,8,811
4915,75,10,599
3262,210,6,1120
5132,210,10,727
2698,75,10,718
5408,120,18,489
349,120,10,734
97,75,6,574
5784,60,8,536
4803,210,18,775
4783,75,14,609
5288,75,14,487
